tecnica_norm,n_fichas,n_mujeres,n_hombres,edad_prom,estados,ceremonia_principal,n_ceremonia_principal,ceremonias_resumen,prenda_principal,n_prenda_principal,prendas_resumen,n_aprendio_madre,n_aprendio_abuela,n_aprendio_tia,n_aprendio_hermana,n_aprendio_cunada,n_aprendio_instructor,n_aprendio_otro,n_aprendio_padre,n_no_ha_ensenado,n_ens_hijas,n_ens_nietos,n_ens_sobrinos,n_ens_pareja,n_ens_estudiantes,n_ens_otra,n_ens_hijos,n_man_mano,n_man_pedal,n_man_telar,n_man_mixta,n_man_otra,n_man_tejido,n_man_telar_pedal,n_tenido_plantas,n_tenido_minerales,n_tenido_animales,n_tenido_otro,Tecnica,count,Materiales_concat_clean,uuid
Bordado ch'ol tzeltal,3,3,0,30.3333333333333,Chiapas,Para uso diario,1.0,Para uso diario (1); Tradicional (1); Traje tradicional (1),Blusas,1.0,Blusas (1); Bolsas y monederos  diademas (1); Bordado (1); Cintura (1); Enrollar hilo (1); Tiras bordado (1); Todo el tiempo se utiliza las prendas (1); Tradicional (1); Urdidor (1); Wipiles (1); huayaberas (1),2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,,,,7464e1c9-c4d0-5a1d-9eee-0c9134e0891e
Bordado con dos agujas,2,2,0,35.5,México,En fiestas del pueblo,1.0,En fiestas del pueblo (1); En misa (1); Mayordomia (1); Salidas de paseo (1),Aretes,1.0,Aretes (1); Blusas (1); Bolsitas (1); Caminos de mesa (1); Camisas (1); Portavasos (1); Pulceras (1); Quesquemelt (1); Separadores (1); Servilletas (1),2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,1,0,Bordado con dos agujas,2.0,"ahuja lana hilos ect, como materia prima tela de algodón y lana así como hilos de algodón y lana teñida",3aa53c4e-494f-50c9-b09c-e05da659be07
Cola de ratón,1,1,0,76.0,Hidalgo,En las Bodas,1.0,En las Bodas (1); Para la adoración del cerro para pedir agua el 3 de mayo (1),Anillos,1.0,Anillos (1); Aretes (1); Bolsas (1); Cuadros (1); Llaveros (1); Manteles (1); Ropa (1); Tapices (1); Tenis (1),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cola de ratón,1.0,"manta, hilo vela, aro y aguja",5130d479-33c6-5ca0-bffd-7fdc63bfaa52
Bordado mazahua,4,4,0,55.0,México,Aretes,1.0,Aretes (1); Camisas (1); Ceremonia mazahua (1); Fiestas patronales (1); Trajes y blusas (1); Vestidos (1); Vestidos de boda (1); Áretes (1),Blusas,2.0,Blusas (2); Camisas (2); Blusa (1); Camino de mesa (1); Camisas de niño (1); Cojines (1); Gavan (1); Kexkemet (1); Manteles (1); Morrales (1); Porta vasos (1); Pulceras (1); Reboso (1); Rebozos (1); Vestido (1); Vestidos (1),4,2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,3,0,0,0,0,1,0,3,1,0,0,Bordado mazahua,1.0,,a41b896b-5174-5cb1-9ff2-f8a181b58ec5
Bordado de chaquira,4,4,0,53.75,Guerrero,Blusas y vestido,1.0,Blusas y vestido (1); Día de muertos (1); Días previos a la Virgen de Guadalupe (1); Evento para bailar la chilena (1); Expo feria de Ometepec Guerrero (1); Fiesta de San Nicolás de Tolentino (con la danza del toro de petate) (1); Fiesta de la Virgen del Rosario (Danza del tigre) (1); Fiesta patronal del Señor Santiago Apóstol en Ometepec Guerrero (1); Fiestas de Santiago (1); Fiestas patrias (1),BLUSA TÍPICA DE 2 PETOS CUELLO “V”,1.0,"BLUSA TÍPICA DE 2 PETOS CUELLO “V” (1); BLUSA TÍPICA DE CUELLO EN “V” CON MANGA (1); BLUSA TÍPICA DE “CAJÓN” (1); BLUSA TÍPICA DE “LETILLA” (1); BLUSA TÍPICA “CAMPESINA” (1); Blusa (1); Blusa de cuello v (1); Blusa estilizada (1); Blusa sin mangas (1); Blusa tradicional de letilla (1); Blusas (1); Bolsa (1); Bolsas (1); Camisa (1); Camisas (1); Cinturones (1); Diademas (1); HUIPIL CON CUELLO DE “CAJÓN” (1); Huaraches (1); Juego de collares, aretes,pulseras,anillos (1); Monederos (1); Tumbagon (1); VESTIDO CON CUELLO TÍPICO EN “V” (1); Vestido (1); Vestidos (1)",3,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,Bordado de chaquira,4.0,"chaquira (en diferentes colores), hilo, aguja, cuadrillé (tela para bordar la chaquira), telas para confeccionar las prendas…, cuadrillé, chaquira, popelina, rayón, chaquira e hilo",cfc4585b-3eef-53e6-854f-39c353868718
Bordado sobre tela y cesteria,1,1,0,64.0,Sonora,Fiesta de pubertad,1.0,Fiesta de pubertad (1); Fiesta del año nuevo (1); Fiestade canasta (1),Accesorios,1.0,Accesorios (1); Busas (1); Faldas (1); Pantalones (1),1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Bordado sobre tela y cesteria,1.0,tela e hilo,b2bb549f-ef6b-5122-b2a3-ed9e9eb179c0
Bordado de dos agujas,4,4,0,45.75,México,En ceremonias religiosas de la comunidad,1.0,En ceremonias religiosas de la comunidad (1); Eventos cómo original (1); Expoventas (1); Ferias artesanales (1); Festividades del la ciudad munidad (1); Festividades patronales (1); Fiesta patronal (1); Los morales para poner a los santos (1); Los rebozos en las fiestas patronal (1); Otras ceremonia de  eventos de artesanías (1); Vestir a los santos (1),Blusas,3.0,"Blusas (3); Caminos de mesa (3); Camisas (2); Cojines (2); Cuadros (2); Rebozo (2); Aretes (1); Camisa (1); Carpetas (1); Cogines (1); Colchas (1); En vestido ,blusas  ,sacos o ropa de vestir (1); Falda (1); Faldas (1); Manteles (1); Morales (1); Morrales (1); Prendas de vestir (1); Servilletas (1); Sinturon (1); Utilitarios de cosita (1); Vestido (1); Vestidos (1)",3,0,1,0,0,0,0,0,0,1,2,0,1,0,1,1,4,0,0,0,0,0,0,4,2,0,0,Bordado de dos agujas,4.0,"manta de algodón, hilo, tela de lana, lana y aguja, lana ilada hilo de algodón y tela en lienzo de lana y manta, manta aguja tela y lana, tela, manta, aguja, lana",12ad727a-c116-5b20-8b1b-0a2add93d1bb
Bordado de dos hilos y una aguja,1,1,0,50.0,México,,,,Blusas,1.0,Blusas (1); Camisas (1); Cuadros para enmarcar (1),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Bordado de dos hilos y una aguja,1.0,manta,76ade3ec-624e-5681-9659-53fac43087cb
Bordado de manta,1,1,0,35.0,Chiapas,,,,Mantas como camisas para hombres para las fiestas tradicionales,1.0,Mantas como camisas para hombres para las fiestas tradicionales (1),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Bordado de manta,1.0,manta de algodon,591139bf-1d4a-55b4-b5f7-619b7f209afe
Bordado de puntada continua,1,1,0,85.0,,Bautizos,1.0,Bautizos (1); Bodas (1); Fiestas especiales (1),Camisas tradicionales y para ceremonias especiales,1.0,"Camisas tradicionales y para ceremonias especiales (1); Cojines (1); Esttolas (1); Guayaberas (1); Manteles, servilletas y manteles individuales (1); Prendas para niños y niños (1); Rebozos (1); Ropones para bautizo (1); Vestido tradicional de los valles centrales de Oaxaca (1); Vestidos para novia (1)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bordado de puntada continua,1.0,,456b7ad5-dcb1-5809-8547-a5782b1865f1
Bordado de san antonio,1,1,0,65.0,Oaxaca,Bodas,1.0,Bodas (1); Evento culturales y tradicionales (1); Fiestas tradicionales (1); Mayordomías (1),Batas,1.0,Batas (1); Blusas (1); Camisas (1); Sacos (1); Vestidos faldas (1),1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,bd4c9939-2eef-5d69-84aa-8d6eff9ab373
Bordado de xochicuahuitl,1,1,0,36.0,Puebla,,,,En blusas,1.0,En blusas (1); Fajas (1),1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,b14e5a04-c8d2-54cc-94ee-c311532dafa2
Confección de traje tradicional de la sierra tarahumara chihuahua,1,1,0,28.0,Chihuahua,En todo,1.0,En todo (1),Nosotros la única nuestra vestimenta en toda ocasión,1.0,Nosotros la única nuestra vestimenta en toda ocasión (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,18daf458-c38e-5a87-9692-c1677e6937ac
Bordado elevado de contado,1,1,0,34.0,Chiapas,"En eventos importantes en donde nos invitan a participar, en reuniones importantes para la familia cumpleaños, Días de muertos, en fiestas del pueblo.",1.0,"En eventos importantes en donde nos invitan a participar, en reuniones importantes para la familia cumpleaños, Días de muertos, en fiestas del pueblo. (1); Solos los anfitriones de Fiestas patronales del pueblo.  Los mayordomos (1)",En los trajes ceremoniales de las mujeres.,1.0,En los trajes ceremoniales de las mujeres. (1); En los trajes del uso diario de las mujeres. (1),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Bordado elevado de contado,1.0,hilo de algodón,c6e21321-d574-525b-bb36-9ffd11a64d17
Bordado libre en maquina de pedal,3,2,1,51.0,"Oaxaca, Yucatán",Bodas,1.0,Bodas (1); Casamientos (1); Cuando hacen la presentacion de las nuevas autoridades en la comunidad (1); Cumpleaños (1); En algún compromiso social importante (1); En el cargo comunitario (1); Fiesta  patronales  de la localidad (1); Fiestas (1),Blusas,2.0,Blusas (2); Camisas (1); Faldas (1); Guayaberas (1); Huipiles (1); Traje típico de la Comunidad (1); Vestidos (1),1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,1,Bordado libre en maquina de pedal,3.0,"maquina de pedal, manta, hilo, aguja, una maquina de coser, hilo de algodón, la máquina de coser, diferentes colores de manta",cb406102-aba4-5e91-ad5c-b47d74424b90
Bordado nahua,1,1,0,48.0,Tlaxcala,Fiesta de San Isidro Patrono de los campesinos y labrieros,1.0,Fiesta de San Isidro Patrono de los campesinos y labrieros (1); Procesiones (1),Blusa cuello cuadrado ceremonial,1.0,Blusa cuello cuadrado ceremonial (1); Blusa cuello redondo para ropa de trabajo (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,95b1ae87-4179-5043-b55f-1aa390dedb04
Bordado primavera,1,1,0,65.0,Oaxaca,En Vento importantes o para uno del día,1.0,En Vento importantes o para uno del día (1); En cualquier evento importante (1); Eventos importantes y ferias del municipio (1); Feria de de municipio y eventos importantes (1); Feria del pueblo y eventos importantes (1); Para eventos importantes y elegantes (1); Para eventos importantes y ferias (1); Para una fiesta elegantes (1),Aretes,1.0,Aretes (1); Blusas (1); Bolsas (1); Bufandas (1); Camino de mesas (1); Camisas (1); Carteras (1); Corset (1); Rebozos (1); Vestidos (1),0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,Bordado primavera,1.0,"hilo, aguja, tela, aro",24c95983-6595-5c34-bc92-e64f684b06f6
Bordado raramuri,2,1,1,37.0,Chihuahua,Blusas,1.0,Blusas (1); Camisas (1); Rituales (1); Se usan en fiestas de semana santa junio y diciembre (1); Vestimenta de diario (1); bodas (1),Blusas,2.0,Blusas (2); Camisas (2); Tortilleros (2); Vestidos (2); Blusas de manta (1); Bolsas (1); Faldas (1); Fibras (1); Mandiles (1); Mndiles (1); Muñacas de trapo (1); Playeras (1); Separadores de hilo (1); Tomacalientes (1); Traje de hombre y mujer (1),1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,Bordado raramuri,2.0,"ahaja hilo y maquina, telas hilasa, tela, hilo, aguja, paciencia y mucho tiempo",ed90be6f-e773-59be-86ee-4963535d12ee
Bordado tenango,2,1,1,33.0,Hidalgo,Bautizos,1.0,Bautizos (1); Bodas tradicionales (1); Carnaval (1); Ceremonias de cosecha (1); Ceremonias de iniciación (1); Día de muertos (1); En eventos de costumbre (1); En eventos de graduación (1); En eventos religiosos (1); En todos los espacios de la vida (1); Fiestas patronales (1); Rituales de sanación (1),Blusas,2.0,"Blusas (2); Camisas (2); Vestidos (2); Accesorios: bolsas, pulseras, monederos, etc (1); Arte utilitario y decoración: cobijes, caminos y cuatros (1); Blancos: sábanas y enrredones, fundas para almohadas etc (1); Bolsas (1); Bolsas de mano (1); Caminos de mesa (1); Carteras (1); Cuadernos (1); Faldas (1); Fundas (1); Murales (1); Ropa confeccionada en diferentes espacios (1); Sombreros (1); Tapices (1)",1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,1,1,1,0,Bordado tenango,1.0,"aguja, hilo, telas de diferentes texturas y material, bastidor",39d28262-79d5-583d-9c17-5bffce4c506c
Bordado tradicional,7,7,0,50.1428571428571,"Coahuila De Zaragoza, Michoacán De Ocampo, Oaxaca, Puebla, Veracruz De Ignacio De La Llave",Bodas,1.0,Bodas (1); Danza de los viejitos (1); Desfiles (1); Evento (1); Eventos (1); Jaripeos (1); La fiesta de los mascogos (1); Para bodas cerenias (1); Para ocasiones especiales en el pueblo (1); Patzcuaro (1); Representación de comunidad (1); Tours presidenciales (1); Vida cotidiana (1),Blusas,2.0,Blusas (2); Camisas (2); Batas (1); Blusas tradicionales (1); Chamarras de mezclilla suave (1); En cevilletas y colchas muñecas (1); Huipiles (1); Huipiles Trajes tradicionales Accesorios como aretes (1); Lino (1); Manteles (1); Para venta (1); Portavasos (1); Quechquemel (1); Quexquetl (1); Rebozos (1); Sacos (1); Tortilleros (1),3,0,0,0,1,0,0,2,0,4,0,0,0,0,2,1,7,0,0,0,0,0,0,1,0,0,4,Bordado tradicional,7.0,"hilo y materiales naturale, telar de dos hilo, hilo abujas tela, tela hilos aguja, hilos de algodón y manta rústica de telar de pedal en algodón, aguja, pluma, bastidore, gel y roll on, tijera, gi, regla, hilos de diferentes marcas en algodón",43a56761-4dad-508e-b23d-461b58e21ed4
Bordados de chamula y larrainzar,1,1,0,34.0,Chiapas,Huipil ceremonial,1.0,Huipil ceremonial (1); Traje tradicional de San Juan Chamula (1),,,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,Bordados de chamula y larrainzar,1.0,hilo mish de algodón de colore,99a049bf-1420-511f-aabe-626b1f9a8f24
Mol miss,1,1,0,55.0,Campeche,Bautizo,1.0,"Bautizo (1); En fiestas culturales, (1)",Blusas,1.0,Blusas (1); Monederos (1); Servilletas (1); Vestidos (1),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mol miss,1.0,"tela, hilo e aguja",8a2dec07-6e31-5188-b7ea-e5f15e83db1f
Bordados en chaquira,2,2,0,37.5,"Guerrero, Puebla",Aretes collares siempre se utilizan,1.0,"Aretes collares siempre se utilizan (1); Bolsas , sombreros y monederos (1); Calzado como huaraches (1); Guayaberas en eventos políticos y fiestas patronales (1); Huaraches casuales siempre se utilizan (1); Las blusas de cajón en las fiestas patronales del sr Santiago Apóstol es tradicional de mi municipio (1); Para cada ocasión o en fiestas (1); Para fiestas (1); Piesas de persianas que quieren un dibujo espacial o diseño (1); Vestido en fiestas patronales (1)",Aretes,1.0,Aretes (1); Blusas (1); Blusas de bordadas en chaquira (1); Bolsas y monederos (1); Collares (1); Cuadro (1); Diademas (1); Guayaberas bordadas en chaquira (1); Huaraches (1); Huaraches bordados en chaquira (1); Llaveros (1); Sombreros (1); Vestido bordado en chaquira (1); Vestidos (1),2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,Bordados en chaquira,2.0,"agujas del número 15, etimina o cuadrille hilo omega, chaquira en diferentes tonos y claro tenemos muestras antiguas heredadas por nuestras abuelas tías etc, cuadrille, aguja chaquirera, chaquira, muestra del bordado y hilo blanco de cono",3263965d-1472-5006-b684-4b97172b3dd4
Bot/vi chuy,1,1,0,49.0,Yucatán,En bodas en primera comunión,1.0,En bodas en primera comunión (1); En una cena (1); Enfiestas de cumpleaños en eventos culturales de las escuelas (1),Baberos,1.0,Baberos (1); Blusas (1); Cinturones (1); En huipiles (1); Manteles (1); Vestiditos de niña (1); Vestidos (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,4d6de1d9-b99e-59d9-9d7d-52612551f8b0
Coralillo,1,1,0,25.0,Oaxaca,"En eventos religiosos, gobernantes, boda",1.0,"En eventos religiosos, gobernantes, boda (1); Es de uso diario (1); Uso diario, y eventos social (1)",Blusas,1.0,Blusas (1); Bolsas (1); Camisas (1); Carteras (1); Huipil (1); Manteles (1); Rebozos (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Coralillo,1.0,"hilos de algodón, aguja",105f89b5-c8fb-593c-b4ca-5b82ff7535ef
Brocado,19,18,1,35.3684210526316,"Chiapas, Guerrero, Michoacán De Ocampo, Oaxaca, Veracruz De Ignacio De La Llave",Cotidiano,5.0,"Cotidiano (5); Bodas (4); Fiestas patronales (3); Blusa (1); Blusa gala se utiliza en las fiestas como boda, bautizo (1); Blusa tradicional se utiliza en la fiesta de carnaval (1); Blusas de gala en las fiestas del pueblo (1); Blusas en uso diario (1); Cambia el tamaño del mantel en fiestas (1); Carnavales (1); Casamiento (1); Ceremonias patronales (1); Convivio religiosos (1); Diario (1); El tejidos con brocado finos (1); Enredos (1); Es de todos los días (1); Escuelas (1); Eventos (1); Eventos importantes, Fiestas (1); Fajas (1); Ferias tradicionales (1); Fiesta Patronal San jerónimo (1); Fiesta patronal (1); Fiestas sociales (1); Fiestas tradicionales (1); Graduaciones (1); Huipil (1); Huipiles largos en algún evento del pueblo (1); Las fajas (1); Lo más utilizado es el huipil para mujer y el de hombre (1); Lo usan las personas del ayuntamiento (1); Lo usan también en las religiones (1); Mas que nada las piezas por ejemplo la huipil tradicional depende del cargo (1); Mayordomía (1); Morrales (1); Ocasiones especiales (1); Orquesta filarmonica (1); Procesión Fiesta Patronal de San Jerónimo (1); Rebozos (1); eventos (1)",Blusas,10.0,"Blusas (10); Huipiles (5); Bolsas (4); Rebozos (4); Servilletas (4); Bufandas (3); Cosmetiqueras (3); Monederos (3); Morrales (3); Rebosos (3); Camino de mesa (2); Fajas (2); Manteles (2); Rebozo (2); Vestidos (2); Batas (1); Blusa (1); Caminos de mesas (1); Centros de mesa y manteles (1); Chal (1); Chalecos (1); Chales (1); Cojines (1); Colchas (1); El brocado censillo (1); El tejido con brocado fino (1); En los huipiles (1); Enredos (1); Falda (1); Fundas de almohada (1); Fundas de cojines (1); Fundas para cojines (1); Gabanes (1); Gorras (1); Huipil (1); Huipil antiguo (1); Huipil de gala (1); Huipil del diario (1); Huipiles cortos y largos (1); Huipiles largos (1); Huipiles tradicionales (1); Mochilas (1); Monedero (1); Naguas (1); Ponchos tradicionales de los hombres de la localidad (1); Punta Rebozos (1); Ropa de niño y niña (1); Ropa para los santos en las iglesias de la localidad (1); Ruanas (1); Sacos sastres (1); Se usa más en uso diario de mujeres (1); Se utiliza más en trajes de hombre (1); Servilletas para las tortillas de los mayordomos en las fiestas tradicionales de la localidad (1); Servilletas, manteles etc. (1); Tarjeteros (1); Tiras para guayaberas (1); Vestidos tradicionales de la mujer (1); blusa (1); bolsas (1); faja (1); rebozo (1)",14,5,4,2,0,0,0,0,4,6,0,4,1,1,7,1,4,0,19,0,2,0,0,8,1,2,3,Brocado,19.0,"hilo de algodón, seda, hilazas de algodón y estambre, hilos madera, se utilizan hilo, la madera para el hurdimbre, al momento de tejer se usa el machete de tejer y los palitos del armamento, se utiliza hilo, una madera para el hurdimbre, se utiliza palos de escoba para montado, algodón, lana y acrilana, lana, hilza, hilos de algodón, hilo, cinturon, machete, urdidor, hilo calibre 16-2, hilo vela, maderas (carrizo), mecapal (cintura) y cuerda, ahora se usa la aguja, hilo de algodón del calibre más delgado, telar, lana de borrego, palos de madera qué en tsotzil llamamos tsutsubil y jalamte (machete), hilos y herramientas del telar de cintura hechos con madera, baras del campo y ollas para los tintes con agua y leña, olla, fierros oxidado, estambre, hilaza",63dada11-4eab-54cd-b6f6-21f5beda6e13
