tecnica_norm,n_fichas,n_mujeres,n_hombres,edad_prom,estados,ceremonia_principal,ceremonias_resumen,prenda_principal,prendas_resumen,n_aprendio_madre,n_aprendio_abuela,n_aprendio_tia,n_aprendio_hermana,n_aprendio_cunada,n_aprendio_instructor,n_aprendio_otro,n_aprendio_padre,n_no_ha_ensenado,n_ens_hijas,n_ens_nietos,n_ens_sobrinos,n_ens_pareja,n_ens_estudiantes,n_ens_otra,n_ens_hijos,n_man_mano,n_man_pedal,n_man_telar,n_man_mixta,n_man_otra,n_tenido_plantas,n_tenido_minerales,n_tenido_animales,n_tenido_otro
Bordado camisas de lavor,1,1,0,40,Puebla,Boda,Boda (1); Danzas (1); Ferias (1); Fiesta (1),De uso diario,De uso diario (1); Para boda (1); Para fiesta (1),1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Bordado ch'ol,2,2,0,31,Chiapas,Para uso diario,Para uso diario (1); Tradicional (1),Bordado,Bordado (1); Cintura (1); Enrollar hilo (1); Todo el tiempo se utiliza las prendas (1); Tradicional (1); Urdidor (1),2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0
Bordado ch'ol tzeltal,1,1,0,29,Chiapas,Traje tradicional,Traje tradicional (1),Blusas,Blusas (1); Bolsas y monederos  diademas (1); Tiras bordado (1); Wipiles (1); huayaberas (1),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bordado con dos agujas,2,2,0,36,México,En fiestas del pueblo,En fiestas del pueblo (1); En misa (1); Mayordomia (1); Salidas de paseo (1),Aretes,Aretes (1); Blusas (1); Bolsitas (1); Caminos de mesa (1); Camisas (1); Portavasos (1); Pulceras (1); Quesquemelt (1); Separadores (1); Servilletas (1),2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,2,1,1,0
Bordado de chaquira,4,4,0,54,Guerrero,Blusas y vestido,Blusas y vestido (1); Día de muertos (1); Días previos a la Virgen de Guadalupe (1); Evento para bailar la chilena (1); Expo feria de Ometepec Guerrero (1); Fiesta de San Nicolás de Tolentino (con la danza del toro de petate) (1); Fiesta de la Virgen del Rosario (Danza del tigre) (1); Fiesta patronal del Señor Santiago Apóstol en Ometepec Guerrero (1); Fiestas de Santiago (1); Fiestas patrias (1),BLUSA TÍPICA DE 2 PETOS CUELLO “V”,"BLUSA TÍPICA DE 2 PETOS CUELLO “V” (1); BLUSA TÍPICA DE CUELLO EN “V” CON MANGA (1); BLUSA TÍPICA DE “CAJÓN” (1); BLUSA TÍPICA DE “LETILLA” (1); BLUSA TÍPICA “CAMPESINA” (1); Blusa (1); Blusa de cuello v (1); Blusa estilizada (1); Blusa sin mangas (1); Blusa tradicional de letilla (1); Blusas (1); Bolsa (1); Bolsas (1); Camisa (1); Camisas (1); Cinturones (1); Diademas (1); HUIPIL CON CUELLO DE “CAJÓN” (1); Huaraches (1); Juego de collares, aretes,pulseras,anillos (1); Monederos (1); Tumbagon (1); VESTIDO CON CUELLO TÍPICO EN “V” (1); Vestido (1); Vestidos (1)",3,0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,4,0,0,0,0,0,0,0,1
Bordado de dos agujas,4,4,0,46,México,En ceremonias religiosas de la comunidad,En ceremonias religiosas de la comunidad (1); Eventos cómo original (1); Expoventas (1); Ferias artesanales (1); Festividades del la ciudad munidad (1); Festividades patronales (1); Fiesta patronal (1); Los morales para poner a los santos (1); Los rebozos en las fiestas patronal (1); Otras ceremonia de  eventos de artesanías (1); Vestir a los santos (1),Blusas,"Blusas (3); Caminos de mesa (3); Camisas (2); Cojines (2); Cuadros (2); Rebozo (2); Aretes (1); Camisa (1); Carpetas (1); Cogines (1); Colchas (1); En vestido ,blusas  ,sacos o ropa de vestir (1); Falda (1); Faldas (1); Manteles (1); Morales (1); Morrales (1); Prendas de vestir (1); Servilletas (1); Sinturon (1); Utilitarios de cosita (1); Vestido (1); Vestidos (1)",3,0,1,0,0,0,0,0,0,1,2,0,1,0,1,1,4,0,0,0,0,4,2,0,0
Bordado de dos hilos y una aguja,1,1,0,50,México,NA,NA,Blusas,Blusas (1); Camisas (1); Cuadros para enmarcar (1),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Bordado de manta,1,1,0,35,Chiapas,NA,NA,Mantas como camisas para hombres para las fiestas tradicionales,Mantas como camisas para hombres para las fiestas tradicionales (1),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Bordado de puntada continua,1,1,0,85,,Bautizos,Bautizos (1); Bodas (1); Fiestas especiales (1),Camisas tradicionales y para ceremonias especiales,"Camisas tradicionales y para ceremonias especiales (1); Cojines (1); Esttolas (1); Guayaberas (1); Manteles, servilletas y manteles individuales (1); Prendas para niños y niños (1); Rebozos (1); Ropones para bautizo (1); Vestido tradicional de los valles centrales de Oaxaca (1); Vestidos para novia (1)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Bordado de san antonio,1,1,0,65,Oaxaca,Bodas,Bodas (1); Evento culturales y tradicionales (1); Fiestas tradicionales (1); Mayordomías (1),Batas,Batas (1); Blusas (1); Camisas (1); Sacos (1); Vestidos faldas (1),1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Bordado de xochicuahuitl,1,1,0,36,Puebla,NA,NA,En blusas,En blusas (1); Fajas (1),1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bordado elevado de contado,1,1,0,34,Chiapas,"En eventos importantes en donde nos invitan a participar, en reuniones importantes para la familia cumpleaños, Días de muertos, en fiestas del pueblo.","En eventos importantes en donde nos invitan a participar, en reuniones importantes para la familia cumpleaños, Días de muertos, en fiestas del pueblo. (1); Solos los anfitriones de Fiestas patronales del pueblo.  Los mayordomos (1)",En los trajes ceremoniales de las mujeres.,En los trajes ceremoniales de las mujeres. (1); En los trajes del uso diario de las mujeres. (1),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Bordado libre en maquina de pedal,3,2,1,51,"Oaxaca, Yucatán",Bodas,Bodas (1); Casamientos (1); Cuando hacen la presentacion de las nuevas autoridades en la comunidad (1); Cumpleaños (1); En algún compromiso social importante (1); En el cargo comunitario (1); Fiesta  patronales  de la localidad (1); Fiestas (1),Blusas,Blusas (2); Camisas (1); Faldas (1); Guayaberas (1); Huipiles (1); Traje típico de la Comunidad (1); Vestidos (1),1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,2,0,0,1
Bordado mazahua,4,4,0,55,México,Aretes,Aretes (1); Camisas (1); Ceremonia mazahua (1); Fiestas patronales (1); Trajes y blusas (1); Vestidos (1); Vestidos de boda (1); Áretes (1),Blusas,Blusas (2); Camisas (2); Blusa (1); Camino de mesa (1); Camisas de niño (1); Cojines (1); Gavan (1); Kexkemet (1); Manteles (1); Morrales (1); Porta vasos (1); Pulceras (1); Reboso (1); Rebozos (1); Vestido (1); Vestidos (1),4,2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,3,0,0,0,0,3,1,0,0
Bordado nahua,1,1,0,48,Tlaxcala,Fiesta de San Isidro Patrono de los campesinos y labrieros,Fiesta de San Isidro Patrono de los campesinos y labrieros (1); Procesiones (1),Blusa cuello cuadrado ceremonial,Blusa cuello cuadrado ceremonial (1); Blusa cuello redondo para ropa de trabajo (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Bordado primavera,1,1,0,65,Oaxaca,En Vento importantes o para uno del día,En Vento importantes o para uno del día (1); En cualquier evento importante (1); Eventos importantes y ferias del municipio (1); Feria de de municipio y eventos importantes (1); Feria del pueblo y eventos importantes (1); Para eventos importantes y elegantes (1); Para eventos importantes y ferias (1); Para una fiesta elegantes (1),Aretes,Aretes (1); Blusas (1); Bolsas (1); Bufandas (1); Camino de mesas (1); Camisas (1); Carteras (1); Corset (1); Rebozos (1); Vestidos (1),0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Bordado raramuri,2,1,1,37,Chihuahua,Blusas,Blusas (1); Camisas (1); Rituales (1); Se usan en fiestas de semana santa junio y diciembre (1); Vestimenta de diario (1); bodas (1),Blusas,Blusas (2); Camisas (2); Tortilleros (2); Vestidos (2); Blusas de manta (1); Bolsas (1); Faldas (1); Fibras (1); Mandiles (1); Mndiles (1); Muñacas de trapo (1); Playeras (1); Separadores de hilo (1); Tomacalientes (1); Traje de hombre y mujer (1),1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1
Bordado sobre tela y cesteria,1,1,0,64,Sonora,Fiesta de pubertad,Fiesta de pubertad (1); Fiesta del año nuevo (1); Fiestade canasta (1),Accesorios,Accesorios (1); Busas (1); Faldas (1); Pantalones (1),1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Bordado tenango,2,1,1,33,Hidalgo,Bautizos,Bautizos (1); Bodas tradicionales (1); Carnaval (1); Ceremonias de cosecha (1); Ceremonias de iniciación (1); Día de muertos (1); En eventos de costumbre (1); En eventos de graduación (1); En eventos religiosos (1); En todos los espacios de la vida (1); Fiestas patronales (1); Rituales de sanación (1),Blusas,"Blusas (2); Camisas (2); Vestidos (2); Accesorios: bolsas, pulseras, monederos, etc (1); Arte utilitario y decoración: cobijes, caminos y cuatros (1); Blancos: sábanas y enrredones, fundas para almohadas etc (1); Bolsas (1); Bolsas de mano (1); Caminos de mesa (1); Carteras (1); Cuadernos (1); Faldas (1); Fundas (1); Murales (1); Ropa confeccionada en diferentes espacios (1); Sombreros (1); Tapices (1)",1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,1,1,1,0
Bordado tradicional,5,5,0,53,"Coahuila De Zaragoza, Michoacán De Ocampo, Oaxaca, Puebla",Bodas,Bodas (1); Danza de los viejitos (1); Desfiles (1); Jaripeos (1); La fiesta de los mascogos (1); Para bodas cerenias (1); Para ocasiones especiales en el pueblo (1); Patzcuaro (1); Representación de comunidad (1); Tours presidenciales (1); Vida cotidiana (1),Blusas,Blusas (2); Camisas (2); Batas (1); Blusas tradicionales (1); Chamarras de mezclilla suave (1); En cevilletas y colchas muñecas (1); Huipiles (1); Lino (1); Manteles (1); Portavasos (1); Quechquemel (1); Quexquetl (1); Rebozos (1); Sacos (1); Tortilleros (1),2,0,0,0,1,0,0,1,0,3,0,0,0,0,1,1,5,0,0,0,0,0,0,0,3
Bordados de chamula y larrainzar,1,1,0,34,Chiapas,Huipil ceremonial,Huipil ceremonial (1); Traje tradicional de San Juan Chamula (1),NA,NA,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Bordados en chaquira,2,2,0,38,"Guerrero, Puebla",Aretes collares siempre se utilizan,"Aretes collares siempre se utilizan (1); Bolsas , sombreros y monederos (1); Calzado como huaraches (1); Guayaberas en eventos políticos y fiestas patronales (1); Huaraches casuales siempre se utilizan (1); Las blusas de cajón en las fiestas patronales del sr Santiago Apóstol es tradicional de mi municipio (1); Para cada ocasión o en fiestas (1); Para fiestas (1); Piesas de persianas que quieren un dibujo espacial o diseño (1); Vestido en fiestas patronales (1)",Aretes,Aretes (1); Blusas (1); Blusas de bordadas en chaquira (1); Bolsas y monederos (1); Collares (1); Cuadro (1); Diademas (1); Guayaberas bordadas en chaquira (1); Huaraches (1); Huaraches bordados en chaquira (1); Llaveros (1); Sombreros (1); Vestido bordado en chaquira (1); Vestidos (1),2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
Bot/vi chuy,1,1,0,49,Yucatán,En bodas en primera comunión,En bodas en primera comunión (1); En una cena (1); Enfiestas de cumpleaños en eventos culturales de las escuelas (1),Baberos,Baberos (1); Blusas (1); Cinturones (1); En huipiles (1); Manteles (1); Vestiditos de niña (1); Vestidos (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Brocado,19,18,1,35,"Chiapas, Guerrero, Michoacán De Ocampo, Oaxaca, Veracruz De Ignacio De La Llave",Cotidiano,"Cotidiano (5); Bodas (4); Fiestas patronales (3); Blusa (1); Blusa gala se utiliza en las fiestas como boda, bautizo (1); Blusa tradicional se utiliza en la fiesta de carnaval (1); Blusas de gala en las fiestas del pueblo (1); Blusas en uso diario (1); Cambia el tamaño del mantel en fiestas (1); Carnavales (1); Casamiento (1); Ceremonias patronales (1); Convivio religiosos (1); Diario (1); El tejidos con brocado finos (1); Enredos (1); Es de todos los días (1); Escuelas (1); Eventos (1); Eventos importantes, Fiestas (1); Fajas (1); Ferias tradicionales (1); Fiesta Patronal San jerónimo (1); Fiesta patronal (1); Fiestas sociales (1); Fiestas tradicionales (1); Graduaciones (1); Huipil (1); Huipiles largos en algún evento del pueblo (1); Las fajas (1); Lo más utilizado es el huipil para mujer y el de hombre (1); Lo usan las personas del ayuntamiento (1); Lo usan también en las religiones (1); Mas que nada las piezas por ejemplo la huipil tradicional depende del cargo (1); Mayordomía (1); Morrales (1); Ocasiones especiales (1); Orquesta filarmonica (1); Procesión Fiesta Patronal de San Jerónimo (1); Rebozos (1); eventos (1)",Blusas,"Blusas (10); Huipiles (5); Bolsas (4); Rebozos (4); Servilletas (4); Bufandas (3); Cosmetiqueras (3); Monederos (3); Morrales (3); Rebosos (3); Camino de mesa (2); Fajas (2); Manteles (2); Rebozo (2); Vestidos (2); Batas (1); Blusa (1); Caminos de mesas (1); Centros de mesa y manteles (1); Chal (1); Chalecos (1); Chales (1); Cojines (1); Colchas (1); El brocado censillo (1); El tejido con brocado fino (1); En los huipiles (1); Enredos (1); Falda (1); Fundas de almohada (1); Fundas de cojines (1); Fundas para cojines (1); Gabanes (1); Gorras (1); Huipil (1); Huipil antiguo (1); Huipil de gala (1); Huipil del diario (1); Huipiles cortos y largos (1); Huipiles largos (1); Huipiles tradicionales (1); Mochilas (1); Monedero (1); Naguas (1); Ponchos tradicionales de los hombres de la localidad (1); Punta Rebozos (1); Ropa de niño y niña (1); Ropa para los santos en las iglesias de la localidad (1); Ruanas (1); Sacos sastres (1); Se usa más en uso diario de mujeres (1); Se utiliza más en trajes de hombre (1); Servilletas para las tortillas de los mayordomos en las fiestas tradicionales de la localidad (1); Servilletas, manteles etc. (1); Tarjeteros (1); Tiras para guayaberas (1); Vestidos tradicionales de la mujer (1); blusa (1); bolsas (1); faja (1); rebozo (1)",14,5,4,2,0,0,2,0,4,6,0,4,1,1,7,1,4,0,16,0,2,8,1,2,3
Cadeneta o cadenilla,23,20,3,44,"Chiapas, Oaxaca, Sonora, Tabasco, Yucatán",Bodas,"Bodas (3); Boda (2); Fiesta patronal (2); Actos religiosos (1); Actualmente se lleva más puesto en Guelaguetza ( porque el.huipil lo portan ajustado al cuerpo, y el.holan qué usan es el tehuano y no el de ixtaltepec) (1); Bautizo. (1); Bautizos (1); Blusas (1); Boda Civil para la novia exclusivamente (1); Boda y fiestas tradicional del pueblo (1); Bodas. (1); Capas (1); Ceremonia de la pubertad cuando la mujer comienza a menstruar (1); Ceremonias culturales (1); Ceremonias religiosa (1); Ceremonias tradicionales (1); Cuando lo aplicamos en el traje en fiestas como bodas, cumpleaños (1); Cumpleaños (1); Cumpleaños ( la cumpleañera) (1); Diario si tiene poco bordado (1); El enrredo con el huipilon en fiestas patronales o eventos culturales (1); El huipil de tres lienzos se considera como huipil de gala que es utizado para bodas por la raza Mixteca de Santiago pinotepa nacional Oaxaca (1); En bodas (1); En fiesta (1); Enredo tradicional y huipil (fiestas patronales o de carácter religioso) (1); Fiesta de la Canasta Grande para la abundancia de laartesana (1); Fiestas (1); Fiestas importantes de la comunidad (1); Fiestas patronal (1); Fiestas patronales (1); Fiestas tradicionales (1); Homenaje cívicos de las escuela (1); Huipil de boda (1); La raza Mixteca lo utiliza de mortaja al momento de morir (1); Las camisas con aplicado de tiras (guayaberas) en bodas o fiestas (1); Los huipiles de tres cadenillas o de un golpe se usan también en eventos especiales (1); Los huipiles de tres lienzos son utilizados para ceremonias de boda de la raza Mixteca de Santiago pinotepa nacional Oaxaca (1); Los huipiles se utilizan de mortaja al momento de morir la persona (1); Maordomia (1); Mayordomias (1); Mayordomos patronales (1); Mayordomía. (1); Quince años (1); Regada de frutas (1); Rituales (1); Trajes regionales en eventos religiosos y fiestas patronales (1); Uso diario (1); Velas. (1)",Huipiles,"Huipiles (6); Blusas (5); Guayaberas (5); Huipil (4); Cojines (3); Bolsas (2); Camisas (2); Faldas (2); Fundas (2); Playeras (2); Abanicos (1); Aplicaciones de pecheras (1); Aplicaciones para guayabera , playeras, camisas y vestidos (1); Blusa (1); Blusas con cuellos bordados (1); Blusas. (1); Blusones bordados con cuellos (1); Bolsa (1); Bolsas para amuletos de protección (1); Bolsas. (1); Bordado en tiras para camisa con los diseños tradicional (1); Bordados en blusas (1); Bordar el cuello del huipil es de una pieza (1); Camisa (1); Camisas. (1); Capas (1); Chamarras (1); Colchas (1); Collares de tela con bordados (1); Corsett (1); Coton (1); Cotones (1); En accesorios (1); En trajes que se usa en las velas. (1); Enagua medio circular (1); Enaguas (1); Enredo tradicional (rojo y morado) (1); Enrredo rojo y morado de telar (1); Estandartes (1); Faldas. (1); Fundas de almohada (1); Huipil de 3 filas (en medio flor) flor de cuatro pétalos, flor de manita (ahora maguey)  de margaritas y más (1); Huipil de gala de pinotepa (1); Huipil de tres cadenillas( barajas ,dibujos,grecas) (1); Huipil de tres lienzos (1); Huipil de un golpe de diferentes dibujos (1); Huipil de un lienzo o de una sola pieza (1); Huipil tradicional (del enredo) (1); Huipiles de 3 cadenillas (de baraja de greca etc) (1); Huipiles de tres filas y la de en medio es de flores ya sea flor de manita, margarita, rosas (1); Huipiles de un un golpe lleno (1); Huipiles sencillos (rejitas) (líneas) (1); Huipiles. (1); Huipilon rojo y morado de telar (1); Manteles (1); Mañanitas (1); Monederos (1); Pañuelos (1); Playeras con cadenilla (nueva adaptada) (1); Rebozod (1); Regitas de diferentes diseños y combinaciones (1); Sacos (1); Separadores de libros (1); Servilletas / tortilleros (1); Servilletas, (1); Sobrecama (1); Ternos (1); Tiras de cadenilla (para aplicación de camisas) (1); Tiras para sombreros (1); Traje Regional (1); Traje completo (1); Traje regional de gala (1); Trajes del istmo de Tehuantepec (1); Trajes regionales (1); Trajes tradicionales de tehuanas (1); Vestido (1); Vestido, blusas (1); Vestido. (1); Vestidos (1); bordar el cuello del huipil de tres lienzos (1); collares de bordado con relleno de salvia (1)",12,3,6,2,1,2,1,0,3,8,0,3,4,2,5,6,18,8,2,1,0,0,0,1,3
Calado,2,2,0,54,Yucatán,Bautizo,"Bautizo (1); Boda (1); Fiestas patronales (1); Todos los eventos religiosos,y ocasiones especiales  asta en el día de la muerte (1)",Blusas,"Blusas (1); Faldas (1); Hipiles (1); Huipiles ,blusas , ternos (1); Pañuelos (1); Ternos (1)",2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0
Canahuate,1,1,0,56,Oaxaca,En fiestas patronales y bodas bautizos,En fiestas patronales y bodas bautizos (1),Huipiles blusas camisas vestidos,Huipiles blusas camisas vestidos (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Cocoleado,1,0,1,33,Puebla,"Ahora se implementa en camiseros de caballero como camisas casuales, guayaberas, faldas, blusas modernas, vestidos","Ahora se implementa en camiseros de caballero como camisas casuales, guayaberas, faldas, blusas modernas, vestidos (1); Se usaba para uso diario como cualquier otra prenda (1)",Vestimenta tradicional de la mujer totonaca,Vestimenta tradicional de la mujer totonaca (1),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Cola de ratón,1,1,0,76,Hidalgo,En las Bodas,En las Bodas (1); Para la adoración del cerro para pedir agua el 3 de mayo (1),Anillos,Anillos (1); Aretes (1); Bolsas (1); Cuadros (1); Llaveros (1); Manteles (1); Ropa (1); Tapices (1); Tenis (1),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Confección de traje tradicional de la sierra tarahumara chihuahua,1,1,0,28,Chihuahua,En todo,En todo (1),Nosotros la única nuestra vestimenta en toda ocasión,Nosotros la única nuestra vestimenta en toda ocasión (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Contabilidad y vuelta por hilo,5,2,3,47,"Guanajuato, México, Oaxaca, Puebla",Carnaval,Carnaval (1); Coton (1); El 10 de mayo (1); En eventos en la escuela (1); Es de uso diario (1); Es de uso diario o común (1); Huipiles (1); No (1),Blusas,Blusas (2); Cobijas (2); Cotorinas (2); Gabanes (2); Rebosos (2); Ruanas (2); Tapetes (2); Bolsas (1); Camisas (1); Chamarra (1); Cotorina (1); Cotón (1); Crop top (1); Gaban (1); Huipiles (1); Kexkemetl (1); Morrales (1); Pantalones (1); Playeras (1); Quexquémetl (1); Servilletas (1); Vestidos (1),2,3,1,0,1,0,0,0,0,1,0,0,2,0,0,4,2,0,0,0,0,3,2,0,1
Contado,1,0,1,42,Veracruz De Ignacio De La Llave,Faja,Faja (1); Rebozo (1),Faja,Faja (1); Rebozo (1),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Coralillo,1,1,0,25,Oaxaca,"En eventos religiosos, gobernantes, boda","En eventos religiosos, gobernantes, boda (1); Es de uso diario (1); Uso diario, y eventos social (1)",Blusas,Blusas (1); Bolsas (1); Camisas (1); Carteras (1); Huipil (1); Manteles (1); Rebozos (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Costilla de ratón,2,2,0,38,"Hidalgo, Sonora",Camisas,"Camisas (1); Chamarras (1); Eventos del pueblo como fiestas patrias (1); Lienzos. Caminos y manteleria (1); Pantalon (1); Quezqueme (1); Rebozos (1); Ropa de bebe (1); Vestidos,, (1)",Vestimenta tradicional,Vestimenta tradicional (1); Yumare fiesta tradicional (1),0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Costura,1,1,0,24,Chihuahua,Dentro de la comunidad,Dentro de la comunidad (1); Fiestas tradicionales (1),Blusas,Blusas (1); Faldas (1); Huares (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Costura sobre tela,1,1,0,30,Chihuahua,Bariceo semana santa,Bariceo semana santa (1); Matachin diciembre (1); Ocasiones especiales personales (1),Blusa,Blusa (1); Falda (1); Fondo (1); Gorro para bebe (1); Tagora para hombre (1); Todas las telas que se puedan coser etc (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Croché,3,2,1,30,"Oaxaca, Puebla",Boda y entierros funebres,"Boda y entierros funebres (1); Bodas (1); Bodas, mayordomía, tititlatos , entierros funebres calendas y fiestas patronales (1); Calendas, fiestas patronales (1); Eventos culturales (1); Fiestas patronales (1); Misas (1); Vida cotidiana (del diario). (1)",Blusa,Blusa (1); Bufandas (1); Camisas (1); Capas (1); Cintas (1); Faja de cintura (1); Faldas (1); Gorros (1); Morrales (1); Nahuas (1); Quiskemetl (1); Refajo (1); Valerinas (1); Vestido (1),1,2,0,0,0,1,1,0,0,1,0,0,1,0,2,0,3,0,1,1,0,2,2,2,0
Cuera tamaulipeca y talabarteria,1,1,0,74,Tamaulipas,Todos los huapangueros,Todos los huapangueros (1),Bolsas,Bolsas (1); Chamarras (1); Coton (1); Cueras (1); Mañanitas (1),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
